siret_txt,siret,société,nom_historique,naf732,secteur,activité_naf_détaillée_(insee),enseigne,année_de_création_de_létablissement,commune,code_commune_insee,epci,effectifs_2024,date_de_mise_à_jour_des_effectifs,segmentation,sport-montagne,sportdomaine,cleantech,sante,santedomaine,energie,energiedomaine,numerique,num_domaine,chimie,chimiedomaine
83409669500566,83409669-00566,SOCOTEC EQUIPEMENTS,,7120B,Services aux entreprises,"Ingénierie, architecture, analyses techniques",,,ECHIROLLES,38151.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
33065100100027,33065100-00027,SOMERET,SOMERET,2562B,Industrie,"Métallurgie, travail des métaux, usinage",,1985,SEMONS,38479.0,CC Bièvre Isère,11.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
44860210200106,44860210-00106,STRATORIAL,STRATORIAL FINANCES,7022Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,2004,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2022-05-20 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
'07050127500070,0705012-00070,STRYKER - TORNIER 6/6,,3250A,Industrie,"Matériel médical, instruments scientifiques et appareils de mesure",,,MONTBONNOT SAINT MARTIN,38249.0,CC Le Grésivaudan,11.0,2020-06-01 00:00:00,1.0,0.0,,0.0,1.0,,0.0,,0.0,,0.0,
41356415400040,41356415-00040,THERMOFORMAGE TECHNIQUE RHONE ALPES,THERMOFORMAGE TECHNIQUE RHONE-ALPES 2TRA,2229A,Industrie,Produits en caoutchouc et plastique,2T RA,1998,SAINT VINCENT DE MERCUZE,38466.0,CC Le Grésivaudan,11.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
40310405200044,40310405-00044,TOPAS INFORMATIQUE,TOPAS INFORMATIQUE,6202A,Services aux entreprises,"Informatique : ESN, logiciels, Data",,1997,MOIRANS,38239.0,CA du Pays Voironnais,11.0,,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
50285979600026,50285979-00026,TRIOLOGIC,,2562B,Industrie,"Métallurgie, travail des métaux, usinage",,,VOREPPE,38565.0,CA du Pays Voironnais,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
77605646700595,77605646-00595,UNION DES GROUPEMENTS D'ACHATS PUBLICS,UGAP U G A P  F,4619A,Services aux entreprises,Commerce de gros,,1991,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
84963594100016,84963594-00016,"VALERIE ROY, GUILLAUME DELPIERRE & CELINE DOZ, NOTAIRES ASSOCIES.",,6910Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,,VILLARD DE LANS,38548.0,CC du Massif du Vercors,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
32484709400376,32484709-00376,XELIANS ARCHIVAGE,ARCHIVECO ex ARCHIVES SERVICE France,5210B,Services aux entreprises,"Entreposage, manutention, conditionnement",,1986,VOUREY,38566.0,CA du Pays Voironnais,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
